Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:47:27.608452 | Cash : 390.434936129 | Assets_value : 110.26182800000001 | Portfolio_change : 0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:52:39.048802 | Cash : 390.434936129 | Assets_value : 110.166767 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:57:50.604292 | Cash : 390.434936129 | Assets_value : 110.171944 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:03:02.162808 | Cash : 390.434936129 | Assets_value : 109.97893499999998 | Portfolio_change : 0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:08:13.608551 | Cash : 390.434936129 | Assets_value : 109.644452 | Portfolio_change : 0.02%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:13:25.035735 | Cash : 390.434936129 | Assets_value : 109.743773 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:18:36.634840 | Cash : 390.434936129 | Assets_value : 109.369023 | Portfolio_change : -0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:23:48.047168 | Cash : 390.434936129 | Assets_value : 109.14038599999999 | Portfolio_change : -0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:28:59.506135 | Cash : 390.434936129 | Assets_value : 109.16233100000001 | Portfolio_change : -0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:34:10.958654 | Cash : 390.434936129 | Assets_value : 108.922958 | Portfolio_change : -0.13%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:39:22.428843 | Cash : 390.434936129 | Assets_value : 108.81347 | Portfolio_change : -0.15%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:44:33.941687 | Cash : 390.434936129 | Assets_value : 108.962406 | Portfolio_change : -0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:49:45.419593 | Cash : 390.434936129 | Assets_value : 108.889002 | Portfolio_change : -0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:54:56.937081 | Cash : 390.434936129 | Assets_value : 108.87284499999998 | Portfolio_change : -0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:00:08.365773 | Cash : 390.434936129 | Assets_value : 108.76657099999998 | Portfolio_change : -0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:05:19.905216 | Cash : 390.434936129 | Assets_value : 108.86698200000001 | Portfolio_change : -0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:10:31.362857 | Cash : 390.434936129 | Assets_value : 108.77113299999999 | Portfolio_change : -0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:15:42.827087 | Cash : 390.434936129 | Assets_value : 108.930056 | Portfolio_change : -0.13%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:20:54.300315 | Cash : 390.434936129 | Assets_value : 108.76442300000001 | Portfolio_change : -0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:26:05.740396 | Cash : 390.434936129 | Assets_value : 109.01671700000001 | Portfolio_change : -0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:31:17.173314 | Cash : 390.434936129 | Assets_value : 108.631394 | Portfolio_change : -0.19%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:36:28.664333 | Cash : 390.434936129 | Assets_value : 108.80155400000001 | Portfolio_change : -0.15%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:41:40.153845 | Cash : 390.434936129 | Assets_value : 108.78544400000001 | Portfolio_change : -0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:46:51.720826 | Cash : 390.434936129 | Assets_value : 108.87146399999999 | Portfolio_change : -0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:52:03.158528 | Cash : 390.434936129 | Assets_value : 108.78595600000001 | Portfolio_change : -0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 03:57:14.664699 | Cash : 390.434936129 | Assets_value : 108.071735 | Portfolio_change : -0.30%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:02:26.102472 | Cash : 390.434936129 | Assets_value : 108.466567 | Portfolio_change : -0.22%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:07:37.638362 | Cash : 390.434936129 | Assets_value : 108.218095 | Portfolio_change : -0.27%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:12:49.063069 | Cash : 390.434936129 | Assets_value : 108.411485 | Portfolio_change : -0.23%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:18:00.590710 | Cash : 390.434936129 | Assets_value : 108.115351 | Portfolio_change : -0.29%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:23:12.152795 | Cash : 390.434936129 | Assets_value : 107.74981500000001 | Portfolio_change : -0.36%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:28:23.646275 | Cash : 390.434936129 | Assets_value : 107.31254799999999 | Portfolio_change : -0.45%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:33:35.130588 | Cash : 390.434936129 | Assets_value : 107.668918 | Portfolio_change : -0.38%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:38:46.745900 | Cash : 390.434936129 | Assets_value : 106.79743599999999 | Portfolio_change : -0.55%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:43:58.300426 | Cash : 390.434936129 | Assets_value : 105.95896999999998 | Portfolio_change : -0.72%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:49:09.917063 | Cash : 390.434936129 | Assets_value : 106.356533 | Portfolio_change : -0.64%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:54:21.826282 | Cash : 390.434936129 | Assets_value : 106.048219 | Portfolio_change : -0.70%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 04:59:33.278194 | Cash : 390.434936129 | Assets_value : 105.998541 | Portfolio_change : -0.71%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:04:44.807009 | Cash : 390.434936129 | Assets_value : 106.10126799999999 | Portfolio_change : -0.69%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:09:56.363178 | Cash : 390.434936129 | Assets_value : 106.20361 | Portfolio_change : -0.67%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:15:07.960980 | Cash : 390.434936129 | Assets_value : 105.84778700000001 | Portfolio_change : -0.74%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:20:19.787245 | Cash : 390.434936129 | Assets_value : 105.194211 | Portfolio_change : -0.87%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:25:31.301031 | Cash : 390.434936129 | Assets_value : 105.276286 | Portfolio_change : -0.86%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:30:42.756342 | Cash : 390.434936129 | Assets_value : 105.347084 | Portfolio_change : -0.84%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:35:54.280027 | Cash : 390.434936129 | Assets_value : 105.800038 | Portfolio_change : -0.75%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:41:05.787933 | Cash : 390.434936129 | Assets_value : 105.85062599999999 | Portfolio_change : -0.74%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:46:17.348816 | Cash : 390.434936129 | Assets_value : 105.52333999999999 | Portfolio_change : -0.81%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:51:28.957075 | Cash : 390.434936129 | Assets_value : 104.997207 | Portfolio_change : -0.91%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 05:56:40.576052 | Cash : 390.434936129 | Assets_value : 105.463176 | Portfolio_change : -0.82%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:01:52.109991 | Cash : 390.434936129 | Assets_value : 105.900166 | Portfolio_change : -0.73%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:07:03.540256 | Cash : 390.434936129 | Assets_value : 105.654072 | Portfolio_change : -0.78%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:12:15.128241 | Cash : 390.434936129 | Assets_value : 104.83125500000001 | Portfolio_change : -0.95%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:17:26.585030 | Cash : 390.434936129 | Assets_value : 104.520633 | Portfolio_change : -1.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:22:38.122051 | Cash : 390.434936129 | Assets_value : 104.84654299999998 | Portfolio_change : -0.94%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:27:49.640859 | Cash : 390.434936129 | Assets_value : 104.34806700000001 | Portfolio_change : -1.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:33:01.264536 | Cash : 390.434936129 | Assets_value : 104.23006800000002 | Portfolio_change : -1.07%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:38:12.932764 | Cash : 390.434936129 | Assets_value : 104.01135700000002 | Portfolio_change : -1.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:43:24.420520 | Cash : 390.434936129 | Assets_value : 103.71897299999999 | Portfolio_change : -1.17%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:48:35.981490 | Cash : 390.434936129 | Assets_value : 103.819129 | Portfolio_change : -1.15%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:53:47.488235 | Cash : 390.434936129 | Assets_value : 103.21128800000001 | Portfolio_change : -1.27%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 06:58:59.058276 | Cash : 390.434936129 | Assets_value : 102.602742 | Portfolio_change : -1.39%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:04:10.469727 | Cash : 390.434936129 | Assets_value : 103.116743 | Portfolio_change : -1.29%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:09:21.938465 | Cash : 390.434936129 | Assets_value : 103.346416 | Portfolio_change : -1.24%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:14:33.464318 | Cash : 390.434936129 | Assets_value : 103.30192500000001 | Portfolio_change : -1.25%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:19:45.015583 | Cash : 390.434936129 | Assets_value : 103.876636 | Portfolio_change : -1.14%
