AUDIOUSDT: stepsize=0.1, ticksize=0.0001
CTKBTC: stepsize=0.1, ticksize=1e-08
CTKUSDT: stepsize=0.1, ticksize=0.0001
AXSUSDT: stepsize=0.01, ticksize=0.001
STRAXUSDT: stepsize=1.0, ticksize=1e-05
ROSEUSDT: stepsize=0.1, ticksize=1e-05
AVAUSDT: stepsize=0.1, ticksize=0.0001
SKLUSDT: stepsize=1.0, ticksize=1e-05
GLMBTC: stepsize=1.0, ticksize=1e-08
GRTUSDT: stepsize=1.0, ticksize=0.0001
JUVUSDT: stepsize=0.01, ticksize=0.001
PSGUSDT: stepsize=0.01, ticksize=0.001
1INCHBTC: stepsize=0.1, ticksize=1e-08
1INCHUSDT: stepsize=0.1, ticksize=0.0001
OGUSDT: stepsize=0.1, ticksize=0.001
ATMUSDT: stepsize=0.01, ticksize=0.001
ASRUSDT: stepsize=0.1, ticksize=0.001
CELOUSDT: stepsize=0.1, ticksize=0.0001
RIFBTC: stepsize=1.0, ticksize=1e-08
RIFUSDT: stepsize=1.0, ticksize=0.0001
TRUUSDT: stepsize=1.0, ticksize=0.0001
CKBUSDT: stepsize=1.0, ticksize=1e-06
TWTUSDT: stepsize=1.0, ticksize=0.0001
SFPBTC: stepsize=1.0, ticksize=1e-08
SFPUSDT: stepsize=1.0, ticksize=0.0001
DODOBTC: stepsize=0.1, ticksize=1e-08
DODOUSDT: stepsize=0.1, ticksize=0.0001
CAKEUSDT: stepsize=0.01, ticksize=0.001
FISBTC: stepsize=1.0, ticksize=1e-08
FISUSDT: stepsize=1.0, ticksize=0.0001
HOTTRY: stepsize=1.0, ticksize=1e-05
OMUSDT: stepsize=0.1, ticksize=0.0001
ALICEUSDT: stepsize=0.01, ticksize=0.0001
SUPERUSDT: stepsize=1.0, ticksize=0.0001
CFXUSDT: stepsize=1.0, ticksize=0.0001
RVNTRY: stepsize=0.01, ticksize=0.0001
TLMUSDT: stepsize=1.0, ticksize=1e-05
BARUSDT: stepsize=0.01, ticksize=0.001
FORTHBTC: stepsize=0.01, ticksize=1e-08
FORTHUSDT: stepsize=0.01, ticksize=0.001
BAKEUSDT: stepsize=0.1, ticksize=0.0001
SLPUSDT: stepsize=1.0, ticksize=1e-06
SHIBUSDT: stepsize=1.0, ticksize=1e-08
ICPUSDT: stepsize=0.01, ticksize=0.001
ARUSDT: stepsize=0.01, ticksize=0.01
MASKUSDT: stepsize=0.1, ticksize=0.001
LPTUSDT: stepsize=0.01, ticksize=0.001
XVGUSDT: stepsize=1.0, ticksize=1e-06
ATABTC: stepsize=1.0, ticksize=1e-08
ATAUSDT: stepsize=1.0, ticksize=0.0001
PHAUSDT: stepsize=1.0, ticksize=0.0001
GRTTRY: stepsize=1.0, ticksize=0.001
QNTUSDT: stepsize=0.001, ticksize=0.01
FLOWBTC: stepsize=0.01, ticksize=1e-08
FLOWUSDT: stepsize=0.01, ticksize=0.001
MINAUSDT: stepsize=0.1, ticksize=0.0001
RAYUSDT: stepsize=0.1, ticksize=0.001
MBOXUSDT: stepsize=0.1, ticksize=0.0001
REQUSDT: stepsize=1.0, ticksize=0.0001
WAXPUSDT: stepsize=1.0, ticksize=1e-05
WAXPBTC: stepsize=1.0, ticksize=1e-08
ARPATRY: stepsize=1.0, ticksize=0.0001
XECUSDT: stepsize=1.0, ticksize=1e-08
DYDXUSDT: stepsize=0.01, ticksize=0.0001
IDEXUSDT: stepsize=0.1, ticksize=1e-05
GALAUSDT: stepsize=1.0, ticksize=1e-05
ILVUSDT: stepsize=0.001, ticksize=0.01
ILVBTC: stepsize=0.001, ticksize=1e-06
YGGUSDT: stepsize=0.1, ticksize=0.0001
SYSUSDT: stepsize=1.0, ticksize=0.0001
DFUSDT: stepsize=1.0, ticksize=1e-05
SOLUSDC: stepsize=0.001, ticksize=0.01
FIDAUSDT: stepsize=0.1, ticksize=0.0001
AGLDBTC: stepsize=0.1, ticksize=1e-08
AGLDUSDT: stepsize=0.1, ticksize=0.001
RADUSDT: stepsize=0.1, ticksize=0.001
RAREUSDT: stepsize=0.1, ticksize=0.0001
SSVBTC: stepsize=0.01, ticksize=1e-07
LAZIOTRY: stepsize=0.01, ticksize=0.01
LAZIOUSDT: stepsize=0.01, ticksize=0.001
CHESSUSDT: stepsize=0.1, ticksize=0.0001
ADXUSDT: stepsize=1.0, ticksize=0.0001
AUCTIONUSDT: stepsize=0.01, ticksize=0.01
MANATRY: stepsize=0.1, ticksize=0.01
MOVRUSDT: stepsize=0.001, ticksize=0.001
CITYUSDT: stepsize=0.01, ticksize=0.001
ENSUSDT: stepsize=0.01, ticksize=0.01
PORTOUSDT: stepsize=0.01, ticksize=0.001
PORTOTRY: stepsize=0.01, ticksize=0.01
POWRUSDT: stepsize=1.0, ticksize=0.0001
SLPTRY: stepsize=1.0, ticksize=1e-05
LRCTRY: stepsize=0.1, ticksize=0.001
JASMYUSDT: stepsize=0.1, ticksize=1e-05
AMPUSDT: stepsize=1.0, ticksize=1e-06
PYRBTC: stepsize=0.001, ticksize=1e-08
PYRUSDT: stepsize=0.001, ticksize=0.001
SANTOSUSDT: stepsize=0.01, ticksize=0.001
SANTOSTRY: stepsize=0.01, ticksize=0.01
BELTRY: stepsize=0.01, ticksize=0.01
DENTTRY: stepsize=1.0, ticksize=1e-05
ENJTRY: stepsize=0.01, ticksize=0.001
BICOBTC: stepsize=0.01, ticksize=1e-08
BICOUSDT: stepsize=0.01, ticksize=0.0001
FLUXBTC: stepsize=0.01, ticksize=1e-08
FLUXUSDT: stepsize=0.01, ticksize=0.0001
ALICETRY: stepsize=0.001, ticksize=0.01
LUNATRY: stepsize=0.1, ticksize=0.01
MINATRY: stepsize=0.01, ticksize=0.01
HIGHUSDT: stepsize=0.001, ticksize=0.001
PEOPLEUSDT: stepsize=0.1, ticksize=1e-05
SPELLUSDT: stepsize=1.0, ticksize=1e-07
JOEBTC: stepsize=0.01, ticksize=1e-08
JOEUSDT: stepsize=0.01, ticksize=0.0001
ACHUSDT: stepsize=1.0, ticksize=1e-05
IMXBTC: stepsize=0.01, ticksize=1e-08
IMXUSDT: stepsize=0.01, ticksize=0.001
GLMRBTC: stepsize=0.1, ticksize=1e-08
GLMRUSDT: stepsize=0.1, ticksize=0.0001
LOKABTC: stepsize=0.1, ticksize=1e-08
LOKAUSDT: stepsize=0.1, ticksize=0.0001
ROSETRY: stepsize=0.1, ticksize=0.001
SCRTUSDT: stepsize=0.1, ticksize=0.0001
API3USDT: stepsize=0.01, ticksize=0.001
BTTCUSDT: stepsize=1.0, ticksize=1e-08
BTTCTRY: stepsize=1.0, ticksize=1e-08
ACAUSDT: stepsize=0.01, ticksize=0.0001
XNOBTC: stepsize=0.01, ticksize=1e-08
XNOUSDT: stepsize=0.01, ticksize=0.001
COSTRY: stepsize=1.0, ticksize=0.0001
ONETRY: stepsize=0.1, ticksize=0.0001
SPELLTRY: stepsize=1.0, ticksize=1e-05
AXSTRY: stepsize=0.001, ticksize=0.1
ALPINETRY: stepsize=0.01, ticksize=0.01
ALPINEUSDT: stepsize=0.01, ticksize=0.001
TUSDT: stepsize=0.1, ticksize=1e-05
ASTRUSDT: stepsize=0.1, ticksize=1e-05
MBOXTRY: stepsize=0.01, ticksize=0.001
GMTUSDT: stepsize=0.1, ticksize=0.0001
UMATRY: stepsize=0.01, ticksize=0.01
KDABTC: stepsize=0.01, ticksize=1e-08
KDAUSDT: stepsize=0.01, ticksize=0.0001
APEUSDT: stepsize=0.01, ticksize=0.0001
TWTTRY: stepsize=0.01, ticksize=0.01
BSWUSDT: stepsize=0.1, ticksize=0.0001
JASMYTRY: stepsize=1.0, ticksize=0.001
ZILTRY: stepsize=0.1, ticksize=0.0001
ASTRBTC: stepsize=0.1, ticksize=1e-08
BSWTRY: stepsize=0.01, ticksize=0.001
STEEMUSDT: stepsize=0.1, ticksize=0.0001
AUDIOTRY: stepsize=0.01, ticksize=0.001
NEXOUSDT: stepsize=0.01, ticksize=0.001
NEXOBTC: stepsize=0.01, ticksize=1e-08
LDOUSDT: stepsize=0.01, ticksize=0.001
OPUSDT: stepsize=0.01, ticksize=0.001
LEVERUSDT: stepsize=1.0, ticksize=1e-06
STORJTRY: stepsize=0.1, ticksize=0.01
ETCTRY: stepsize=0.001, ticksize=0.1
STGBTC: stepsize=0.1, ticksize=1e-08
STGUSDT: stepsize=0.1, ticksize=0.0001
ANKRTRY: stepsize=1.0, ticksize=0.0001
LUNCUSDT: stepsize=0.01, ticksize=1e-08
GMXUSDT: stepsize=0.001, ticksize=0.01
POLYXUSDT: stepsize=0.1, ticksize=0.0001
APTUSDT: stepsize=0.01, ticksize=0.001
OSMOUSDT: stepsize=0.01, ticksize=0.0001
HFTBTC: stepsize=0.1, ticksize=1e-08
HFTUSDT: stepsize=0.1, ticksize=0.0001
PHBUSDT: stepsize=0.1, ticksize=0.001
MAGICUSDT: stepsize=0.1, ticksize=0.0001
RPLUSDT: stepsize=0.01, ticksize=0.01
SYNUSDT: stepsize=0.1, ticksize=0.0001
SSVUSDT: stepsize=0.001, ticksize=0.01
USTCUSDT: stepsize=1.0, ticksize=1e-05
GASUSDT: stepsize=0.1, ticksize=0.001
GLMUSDT: stepsize=0.1, ticksize=0.0001
IDUSDT: stepsize=1.0, ticksize=0.0001
ARBUSDT: stepsize=0.1, ticksize=0.0001
IDTRY: stepsize=1.0, ticksize=0.01
RDNTUSDT: stepsize=1.0, ticksize=1e-05
MAGICTRY: stepsize=0.1, ticksize=0.01
XVSTRY: stepsize=0.01, ticksize=0.1
WBTCUSDT: stepsize=1e-05, ticksize=0.01
EDUUSDT: stepsize=1.0, ticksize=0.0001
EDUTRY: stepsize=1.0, ticksize=0.01
SUIUSDT: stepsize=0.1, ticksize=0.0001
PEPEUSDT: stepsize=1.0, ticksize=1e-08
FLOKIUSDT: stepsize=1.0, ticksize=1e-08
OGTRY: stepsize=0.01, ticksize=0.1
CITYTRY: stepsize=0.01, ticksize=0.1
RADTRY: stepsize=0.1, ticksize=0.01
MAVUSDT: stepsize=1.0, ticksize=1e-05
PENDLEUSDT: stepsize=0.1, ticksize=0.001
MAVTRY: stepsize=1.0, ticksize=0.01
XVGTRY: stepsize=1.0, ticksize=0.0001
ARKMUSDT: stepsize=0.1, ticksize=0.001
ACATRY: stepsize=1.0, ticksize=0.001
COMPTRY: stepsize=0.001, ticksize=1.0
XECTRY: stepsize=1.0, ticksize=1e-07
WLDUSDT: stepsize=0.1, ticksize=0.001
AMPTRY: stepsize=1.0, ticksize=0.0001
OGNTRY: stepsize=1.0, ticksize=0.001
ASRTRY: stepsize=0.1, ticksize=0.01
ATMTRY: stepsize=0.1, ticksize=0.01
BARTRY: stepsize=0.1, ticksize=0.01
PSGTRY: stepsize=0.1, ticksize=0.01
SEIUSDT: stepsize=0.1, ticksize=0.0001
CYBERTRY: stepsize=0.01, ticksize=0.1
CYBERUSDT: stepsize=0.01, ticksize=0.001
LPTTRY: stepsize=0.01, ticksize=0.1
ARKUSDT: stepsize=1.0, ticksize=0.0001
NTRNUSDT: stepsize=0.1, ticksize=0.0001
LEVERTRY: stepsize=1.0, ticksize=1e-05
STRAXTRY: stepsize=1.0, ticksize=0.001
TIAUSDT: stepsize=0.01, ticksize=0.001
MEMEUSDT: stepsize=1.0, ticksize=1e-06
